product_name,category,cost,selling_price
MD Natural Strawe.Jam 485g,Frozen Food,387,430
prevense perfumed body wash men,Cosmatics,355.5,395
Ravai 1kg,Lose Food Items,100,120
savvarisy(sago) 500g,Lose Food Items,89.1,99
sugar packet 1kg,Lose Food Items,93.6,104
dill seed 1kg,Lose Food Items,380,680
Coffee 250g,Tea Products,144,160
Coffee 100g,Tea Products,58.5,65
Ravai 500g,Packeted Food,58.5,65
Dill seed 250g,Packeted Food,88.2,98
brown sugar 1kg,Lose Food Items,118,120
Soya turkey Brand 150g,Packeted Food,40.5,45
Black Gram 250g,Packeted Food,88.2,98
Cummin Seed 100g,Packeted Food,76.5,85
White ulunthu 500g,Packeted Food,207,230
venthayam 100g,Packeted Food,34.2,38
Venthayam 50g,Packeted Food,18,20
white ulunthu 250g,Packeted Food,108,120
Payaru 250g,Packeted Food,58.5,65
Payaru 500g,Packeted Food,117,130
Pasipparuppu 250g,Packeted Food,81,90
Pasipparuppu 500g,Packeted Food,162,180
goree whitening lotlon,Fancy,279,310
goldan pearl body lotion,Fancy,256.5,285
goldan pearl moisturizing lotio,Fancy,432,480
goldan pearl day cream,Fancy,405,450
gold face wash,Fancy,396,440
Pepper 50g,Packeted Food,76.5,105
Mally 250g,Packeted Food,63,70
Cummin Seed 50g,Packeted Food,39.6,44
softlove smart pants,Fancy,198,220
garlic murukku 250g,Food Drink,112.5,125
giggles small,Baby Others,135,150
giggles medium,Baby Others,135,150
giggles large,Baby Others,135,150
apple Fruits,fruits,20.51,35
orange Fruit ,fruits,40,50
mathulai,Food Drink,225,250
multhani,Fancy,135,150
egg,Food Drink,14.4,17
siddalepa 50g,Fancy,207,230
nespray every day 1kg,Food Drink,766.35,810
Kadalai 250g,Packeted Food,45,50
Cowpea 500g,Packeted Food,108,120
Edna bunty Kiddy single 5.00,Edna chocoleats,4.5,5
Faluda Flavour Pudding Mix,Pudding Mix,85.5,95
sweetpopcorn,Sweet Items,4.5,5
alpha mixture 40g,Snack Foods,13.5,15
soja 1kg jan rich,Frozen Food,252,280
alpnas natraj box,Stationery,117,130
lip glose,Cosmatics,40.5,45
SHEESAR,Cosmatics,180,200
BABY CILIP,Cosmatics,81,90
nascafe 3 in one,Milk Products,22.5,25
panta babbulgum,Sweet Items,4.5,5
lolly pop,Sweet Items,13.5,15
am mixture 125g,Snack Foods,45,50
hair siligt,Cosmatics,67.5,75
usa red apple 1kg,fruits,335.7,373
key tak,Cosmatics,67.5,75
leader agarpathies,General,63,70
am one 500g,Food Drink,180,200
my beautiful picture book,Stationery,180,200
candles,Cosmatics,145,6
brown sheet,Stationery,18,20
Anna coffee 100g,Tea Products,90,100
GLUCORASA,Food Drink,4.5,5
cummin seed 1kg,Lose Food Items,783,870
venthayam 1kg,Lose Food Items,315,350
patham parupu,Lose Food Items,27,30
coriander 250g,Frozen Food,63,70
milaku 1kg,Lose Food Items,1530,1700
shoping bag medium,General,80,155
maapiyan Red Rice 10kg,Rice,765,850
nesto chocolate wafers9g,kandos Chocolate,4.5,5
anna curry powder 250g,Packeted Food,117,130
harischandra kurakkan flour400g,Packeted Food,121.5,135
black tamarind 1kg,Lose Food Items,198,220
red tamarind 1kg,Lose Food Items,306,340
Milkmaid 4l Can,Milk Products,1485,1650
AM One Mixture 100g,Packeted Food,45,50
Ruhunu Ros CurryPow 1kg,Packeted Food,360,400
soanpapadi coconut 250g,Packeted Food,256.5,285
soanpapadi orange 250g,Packeted Food,256.5,285
David Maltagram 250g,Packeted Food,105,125
David sweet papcoan,Packeted Food,54,60
David pottu kadalai 250g,Packeted Food,112.5,125
David maltragram 50g,Packeted Food,27,30
David karachew 250g,Packeted Food,105,125
David  mixture 50g,Packeted Food,27,30
soanpopadi Red 250g,Packeted Food,256.5,285
Egg Brown,Lose Food Items,16.2,16
Egg White,Lose Food Items,12,13
Cardamom 1kg,Packeted Items,4400,5000
David Bites 250g,Packeted Food,105,125
David fried Chick Peas 250g,Packeted Food,105,125
David Fried Peanuts 250g,Packeted Food,125,150
David Roasted Chick Peas 250g,Packeted Food,112.5,125
David sweet popcorn,Packeted Food,54,60
David Sweet Nutty peanut,Packeted Food,225,250
David Sweet popcorn Bottle,Packeted Food,225,250
Annaimugan pakoda 120g,Packeted Food,45,50
Strepsils 2pack,Medicie,18,20
oil bola 250g,Packeted Food,112.5,125
Black Pepper 100g,Spices,144,160
Black Pepper 50g,Spices,72,80
Rice Flakes 500g,Groceries,63,70
Rice Flakes 250g,Groceries,31.5,35
Fruit & Nut 90g,kandos Chocolate,162,180
Kist Vinigar 350ml,Kist Other Products,54,60
Philips Joy vision 0.5w,Philips Bulb,202.5,225
Wheat Flour 1Kg,Groceries,77.6,85
Kutti Nadu 1Kg,Rice,67.5,75
Basmathi Normal 1Kg,Rice,153,170
Samba Normal 5Kg,Rice,405,450
Araliya Samba 10kg,Rice,1250,1500
Maxell 444x2,Battry,54,60
Maxell  AAx2,Battry,54,60
Amla Hair Oil 45ml,Hair Oil,67.5,75
Horlicks Sach 28g,Packeted Food,28.3,30
Nerralu Hair Oil Jasmine 100ml,Hair Oil,117,130
Almond Hair oil 50ml,Hair Oil,90,100
Amla Hair Oil 90ml,Hair Oil,126,140
VIVA Sach 28g,Packeted Food,23.58,25
LL Milky cookies 400g,Little Lion,1,1
Ritz Bubbles 5g,CBL Ritzbury,4.5,5
Nataraj Plasto Erasor,Pen,4.5,5
TEN Stapler MX 10,Pen,67.5,75
Gillette 7-O ClockDiamond Razor,Shaving Razor,63,70
Rotomac Ten Plus,Pen,9,10
Rotomac Ten Plus Black,Pen,9,10
Rotomac Ten Plus Red,Pen,9,10
Rotomac Highlighter,Pen,54,60
Rotomac Ten Colour,Pen,9,10
Araliya Samba 1kg,Lose Food Items,85.5,90
Asvika keeri  Samba 1kg,Lose Food Items,103.5,115
Araliya Nadu Samba 1kg,Lose Food Items,88,95
VSS Gingelly Oil 750 ml,Canned Goods,432,480
panadol 500mg 12 Nos,Medicie,286.24,15.6
Dove Shampoo IRP 180ml,Shampoo,333,370
Clear Anti Hair Fall 80ml,Shampoo,162.92,185
TKT Gingelly oil 200ml,Food Oils,126,140
TKT Gingelly oil 325ml,Food Oils,216,240
TKT Gingelly oil 750ml,Food Oils,477,530
Ceylonta Brooke Bond 200g pac,Tea Products,225,250
Rubi Jelly 15g,Sweet Items,4.5,5
Edna Milky Fruit Toffee Bottle,Sweet Items,1.8,2
Choicy Choco,Sweet Items,1.8,2
Edna Bunty Kiddy Ben10,Sweet Items,4.5,5
Luxapana Hevy Duty,Miscellaneous,64.8,72
Hacks Tofee,Sweet Items,396,3
Ninja Single Coil,Chemical,13.5,15
Silver Chain 5017,Fancy,135,150
Silver Chain 5018,Fancy,468,520
Silver Chain 5019,Fancy,450,500
Silver Chain 5020,Fancy,630,700
Silver Chain 5021,Fancy,585,650
Silver Chain 5022,Fancy,738,820
Maggi Coconut Powder 1Kg,Packeted Items,792,880
Silver Chain 5023,Fancy,945,1050
Silver Hand Chain 5024,Fancy,450,500
Silver Chain 5025,Fancy,315,350
Nescafe 3 in 1 - 10x18g,Tea Products,22.85,25
Tedy Bear 5046,Toys,1305,1450
Tedy Bear 5047,Toys,765,850
Alpha Mixture 250g,Packeted Food,81,90
Alpha Mixture 500g,Packeted Food,162,180
Alpha Pakoda 250g,Packeted Food,81,90
Pakoda 250g,Packeted Food,81,90
Pakoda 500g,Packeted Food,162,180
Alpha Garlic Murukku 250g,Snack Foods,90,100
Alpha Garlic Murukku 500g,Packeted Food,180,200
Alpha Ground Nut 250g,Packeted Food,135,150
Alpha Paruppu 250g,Packeted Food,81,90
Black Night Orig Col Spray 50ml,Perfume,306,340
B/N Orig Col Spray 50ml + Keyta,Perfume,292.5,325
Alpha Manioc 100g,Packeted Food,36,40
Alpha Manioc 250g,Packeted Food,90,100
Sugar 1Kg,Groceries,88.2,100
Sugar 500g,Groceries,38.25,42.5
Yellow Dhal 1Kg,Groceries,171,240
Yellow Dhal 500g,Groceries,85.5,95
Yellow Dhal 250g,Groceries,45,50
Red Dhal 1Kg,Groceries,171,190
Red Dhal 500g,Groceries,85.5,95
Red Dhal 250g,Groceries,45,50
Turmeric Powder 100g,Groceries,59.4,66
Turmeric Powder 50g,Groceries,31.5,35
Turmeric 100g,Groceries,45.9,51
Turmeric 50g,Groceries,24.3,27
Fenugreek 250g,Groceries,58.5,65
Fenugreek 100g,Groceries,27,30
Cashew Nut 100g,Groceries,193.5,215
Drink Bottle 5026,Fancy,495,550
Drink Bottle 5029,Fancy,459,510
Drink Bottle 5027,Fancy,459,510
Drink Bottle 5030,Fancy,540,600
Drink Bottle 5031,Fancy,585,650
Drink Bottle 5032,Fancy,405,450
Drink Bottle 5033,Fancy,603,670
Puzzle 5034,Fancy,90,100
Puzzle 5035,Fancy,135,150
Atlas Stylus Gel Pen Blue,Stationery,13.5,15
Rubber pencil 5036,Stationery,18,20
Pencil Cutter 5037,Stationery,54,60
Pencil Cutter 5038,Stationery,63,70
Pencil Cutter 5039,Stationery,36,40
Atlas Stylus Gel Pen Black,Pen,13.5,15
Pencil Cutter 5040,Stationery,27,30
Atlas Chooty Nano Tip,Pen,9,10
Atlas Butter Gel,Pen,18,20
Toy Elephant 5041,Toys,945,1050
Toy 5042,Toys,855,950
Toy 5043,Toys,675,750
Toy 5044,Toys,585,650
Toy 5045,Toys,405,450
Atlas Highlighter,Pen,49.5,55
Purse 5001,Fancy,1125,1250
Purse 5002,Fancy,1170,1300
Purse 5003,Fancy,990,1100
Purse 5004,Fancy,675,750
Purse 5005,Fancy,832.5,925
Atlas Calculator T 267K,Stationery,333,370
CFT Star 3u/18W Kevilton,Electrical,396,440
CFT Star 3u/14W Kevilton,Electrical,315,350
CFT Star 3u/10W Kevilton,Electrical,427.5,475
Cashew Nut 50g,Groceries,99,110
Plums 100g,Groceries,63,70
Plums 50g,Groceries,36,40
Cleaned Blackgram 1Kg,Groceries,315,350
Cleaned Blackgram 500g,Groceries,158.4,176
 Udaiyal 1Kg,Groceries,64,95
Samba Rice 1Kg,Groceries,85.5,100
Ponni Rice 1Kg,Groceries,117,130
Attakkari Theettal 1Kg,Groceries,64.8,72
Attakkari  1Kg,Groceries,1,1
Attakkari Nadu 1Kg,Groceries,67.5,75
Basmathi 1Kg,Groceries,900,210
Keeri Samba 1Kg,Groceries,99,110
Tedy Bear 5048,Toys,495,550
White Raw Rice 1Kg,Groceries,72,80
Tedy Bear 5049,Toys,405,450
Duck 5050,Toys,360,400
Chess board,Toys,945,1050
Black Gram 1Kg,Groceries,252,280
Black Gram 500g,Groceries,130.5,145
Bee Bucket,Fancy,270,300
Black Gram 250g,Groceries,67.5,75
Building Box,Toys,1215,1350
Tea 500g,Tea Products,252,280
Tea 250g,Tea Products,126,140
Tea 100g,Tea Products,54,60
Dry Ginger 100g,Groceries,90,100
Dry Ginger 50g,Groceries,46.8,52
Sago 1Kg,Groceries,180,200
Sago 500g,Groceries,90,100
Sago 250g,Groceries,46.8,52
Mustard 100g,Groceries,27,30
Mustard 50g,Groceries,18,20
Coffee seeds 250g,Tea Products,126,140
Purse 5007,Fancy,585,650
Purse 5008,Fancy,765,850
Purse 5009,Fancy,1215,1350
Purse 5010,Fancy,427.5,475
Purse 5011,Fancy,405,450
Purse 5012,Fancy,315,350
Atlas My Clear Bag,Stationery,32.4,36
Atlas Campus File Cover,Stationery,142.2,158
Purse 5014,Fancy,468,520
Clip 50,Fancy,45,50
Clip 5016 40,Fancy,36,40
Atlas Pencil Case 3door Disney,Stationery,153,170
Atlas Disney Eraser Ben10,Stationery,18,20
Atlas FunCut Scissor,Stationery,45,50
Atlas Sharpner Point Maker,Stationery,27,30
Atlas Pencil Hybrid,Stationery,9,10
Bangle 5054,Fancy,882,980
Bangle 5055,Fancy,855,950
Bangle 5056,Fancy,1125,1250
Bangle 5057,Fancy,1215,1350
Bangle 5058,Fancy,1260,1400
Bangle 5059,Fancy,945,1050
Bangle 5093,Fancy,855,950
Bangle 5059A,Fancy,405,450
Bangle 5060,Fancy,765,850
Bangle 5061,Fancy,1755,1950
Bangle 5062,Fancy,522,580
Bangle 5063,Fancy,522,580
Bangle 5064,Fancy,495,550
Bangle 5065,Fancy,495,550
Chain 5066,Fancy,675,750
Chain 5067,Fancy,855,950
Chain 5068,Fancy,945,1050
Chain 5069,Fancy,945,1050
Chain 5070,Fancy,675,750
Chain 5074,Fancy,630,700
Chain 5072,Fancy,2025,2250
Necklace 5084,Fancy,1395,1550
Chain 5071,Fancy,1215,1350
Necklace 5085,Fancy,1440,1600
Necklace 5086,Fancy,1530,1700
Chain 5075,Fancy,405,450
Chain 5076,Fancy,1845,2050
Necklace 5087,Fancy,1485,1650
Chain 5077,Fancy,2025,2250
Necklace 5088,Fancy,2205,2450
Necklace 5089,Fancy,2295,2550
Chain 5073,Fancy,1485,1650
Necklace 5090,Fancy,2790,3100
Chain 5078,Fancy,495,550
Necklace 5091,Fancy,612,680
Chain 5081,Fancy,2250,2500
Ring 5092,Fancy,198,220
Chain 5080,Fancy,3465,3850
Chain 5079,Fancy,945,1050
Chain 5082,Fancy,1125,1250
Chain 5083,Fancy,1215,1350
Alpha Mixture 1Kg,Packeted Food,324,360
Alpenliebe Juzt Jelly,Sweet Items,2.7,3
Center Fresh Toffee,Sweet Items,2.7,3
Ground Nuts 250g,Groceries,99,110
Ground Nuts 100g,Groceries,45,50
Cinnamon 25g,Spices,49.5,55
Cinnamon 50g,Spices,99,110
White Sesame 250g,Groceries,252,280
Kurakkan Seeds 1Kg,Groceries,162,180
Kurakkan Seeds 500g,Groceries,81,90
Green Gram 1Kg,Groceries,198,220
Green Gram 500g,Groceries,112.5,125
Green Gram 250g,Groceries,54,60
Dates 1Kg,Groceries,290,320
Dates 500g,Groceries,126,140
Mukhallat Dates 250g,Food,75,90
Gram Dhal 1Kg,Groceries,162,180
Gram Dhal 500g,Groceries,81,90
Gram Dhal 250g,Groceries,43.2,48
Jaggery 1Kg,Groceries,130,140
Jaggery 500g,Groceries,52.2,58
Jaggery 250g,Groceries,31.5,35
Coriander 1Kg,Groceries,265.5,295
Coriander 500g,Groceries,130.5,145
Coriander 250g,Groceries,67.5,75
Dry Chilli 500g,Groceries,130.5,145
Dry Chilli 250g,Groceries,70.2,78
Origanum (Sihaikkai) 250g,Groceries,72,80
Black Gram (Half) 1Kg,Groceries,279,310
Black Gram (Half) 500g,Groceries,144,160
Black Gram (Half) 250g,Groceries,72,80
Clove 50g,Spices,117,130
 Karambu 1kg,Spices,1900,2500
Dhoor Dhal 250g,Groceries,90,100
STC Fennel Seed 100g,Spices,40.5,45
STC Fennel Seed 250g,Spices,90,100
STC Cummin Seed 250g,Spices,162,180
STC Cummin Seed 100g,Spices,67.5,75
Bengal Gram Dhal 1Kg,Groceries,153,170
Bengal Gram Dhal 500g,Groceries,81,90
Bengal Gram Dhal 250g,Groceries,45,50
Center Fresh Strawberry Chewing,Sweet Items,2.7,3
Chupa Chups 15/-,Sweet Items,13.5,15
Thalikkody 5118,Fancy,1665,1850
Thalikkody 5116,Fancy,3375,3750
Thalikkody 5117,Fancy,3600,4000
Ear Rings 5104,Fancy,1755,1950
Ear Rings 5103,Fancy,342,380
Ear Rings 5100,Fancy,855,950
Ear Rings 5111,Fancy,801,890
Ear Rings 5114,Fancy,765,850
Ear Rings 5101,Fancy,945,1050
Ear Rings 5108,Fancy,504,560
Ear Rings 5109,Fancy,468,520
Ear Rings 5110,Fancy,495,550
Ear Rings 5107,Fancy,531,590
Ear Rings 5102,Fancy,495,550
Ear Rings 5116,Fancy,1,1
Ear Rings 5116a,Fancy,855,950
Ear Rings 5105,Fancy,702,780
Ear Rings 5113,Fancy,495,550
Ear Rings 5112,Fancy,162,180
Ear Rings 5115,Fancy,153,170
Ear Rings 5106,Fancy,162,180
Bangles 5098,Fancy,198,220
Necklace 5099,Fancy,765,850
Mookkuththi,Fancy,360,400
Bangle 5120,Fancy,2385,2650
Kody 2175,Fancy,3510,3900
Mookuththi 5117a,Fancy,90,100
Ear Rings 5118a,Fancy,180,200
Necklace 5142,Fancy,450,500
Necklace 5143,Fancy,450,500
Necklace 5144,Fancy,1215,1350
Earing 5145,Fancy,1575,1750
Necklace 5153,Fancy,2115,2350
Necklace 5151,Fancy,2295,2550
Necklace 5147,Fancy,1755,1950
Necklace 5152,Fancy,1233,1370
Necklace 5154,Fancy,1170,1300
Necklace 5150,Fancy,1395,1550
Necklace 5146,Fancy,675,750
Necklace 5138,Fancy,3105,3450
Necklace 5149,Fancy,495,550
Necklace 5148,Fancy,495,550
Necklace 5141,Fancy,2115,2350
Necklace 5140,Fancy,2115,2350
Necklace 5139,Fancy,2115,2350
Ear Rings 5116b,Fancy,180,200
slide 5119,Fancy,585,650
Suger  1kg,Lose Food Items,94,105
Flore 1kg,Lose Food Items,76.5,85
Nadu red 1kg,Lose Food Items,67.5,75
Red Dahl 1kg,Lose Food Items,157.5,159
Kadalai 1Kg,Lose Food Items,256,340
Supiri Keeri Samba 1kg,Lose Food Items,112.5,140
Savvarisi 1kg,Lose Food Items,178.2,198
Ulutham Paruppu 1kg,Lose Food Items,365,300
Aval 1kg,Lose Food Items,105,110
Payaru 1kg,Lose Food Items,198,240
Poodu 1kg,Lose Food Items,297,330
Sakkarai 1kg,Lose Food Items,126,140
Katkandu 1kg,Lose Food Items,160,190
Theedal 1kg,Lose Food Items,75,95
sweettee neli cordial 1l,Food Drink,230,280
sweettee grapes cordial 1l,Food Drink,243,270
sweettee nelli cordial 750ml,Food Drink,190,230
sweettee grapes cordial 750ml,Food Drink,180,230
magarine 1kg,Lose Food Items,376.67,420
KRS Kaikuthu 1kg,Packeted Food,152,98
Moov Spray 35g,Medicie,280,350
Janet Deodrent  25ml,Cosmatics,130.5,145
knuckles spring 19l,Water Bottels,216,240
rhuhunu  curry powder 1kg,Packeted Food,360,400
baterfly,Fancy,405,450
baloon,Fancy,81,90
creep paper,Fancy,18,20
birth day baloon,Fancy,225,250
handel,Fancy,18,20
birth day plate,Fancy,162,180
birth day serviate,Fancy,162,180
birth day baner,Fancy,225,250
birth day baner cartoon,Fancy,405,450
birth day cap,Fancy,162,180
paper snow,Fancy,315,350
paper snow small,Fancy,405,450
candel colour,Fancy,270,300
HiChem 4 in 1 250ml,Chemical,108,120
HiChem Car Wash 500ml,Chemical,135,150
HiChem Dish Wash 500ml,Chemical,112.5,125
Hansaplast,Medicie,13.5,15
tea powder 5kg,Tea Products,540,600
v.s.s special lunch oil750ml,Cooking Oil,495,530
v.s.s special lunch oil 350ml,Cooking Oil,250,270
v.s.s special lunch oil 200ml,Cooking Oil,145,160
aily eye shadow,Fancy,382.5,425
make up kit,Fancy,495,550
aily make up kit,Fancy,630,700
heart shape make up kit,Fancy,675,750
fashion make up kit,Fancy,855,950
am mixture 230g,Packeted Food,76.5,85
make up kit,Fancy,765,850
am pakoda 120g,Packeted Food,45,50
am mixture 120g,Packeted Food,45,50
am one mixture 230g,Packeted Food,90,100
birth day muscial knife,Fancy,337.5,375
Accessary,Fancy,36,40
purse 2,Fancy,531,590
music knife,Fancy,337.5,375
candel dust,Fancy,225,250
birth day cup,Fancy,270,300
birth day party cup,Fancy,99,110
dry chili 1kg,Lose Food Items,188,220
GIGGLES SMALL 4 PCS,Baby Others,108,120
GIGGLES MEDIUM 4 PCS,Baby Others,135,150
GIGGLE LARGE 4 PCS,Baby Others,135,150
GIGGLES XL 4 PCS,Baby Others,135,150
Harpic Hygienic,Chemical,184.5,205
Harpic flushmatic,Chemical,162,180
am mixture 500g,Packeted Food,162,180
lysol floral 950ml,Chemical,288,320
purse 3,Fancy,1125,1250
purse 4,Fancy,945,1050
purse 5,Fancy,1170,1300
purse 6,Fancy,1215,1350
nail polish,Fancy,135,150
Bag,Fancy,675,750
wed Bag,Fancy,2025,2250
Wed  Bag  M,Fancy,1755,1950
Hand band,Fancy,45,50
Hand band,Fancy,90,100
HAIR BAND 10,Fancy,90,100
HAIR BAND 11,Fancy,90,100
Hair bool,Fancy,9,10
Hair bool 2,Fancy,27,30
Hair bool 3,Fancy,18,20
Hair bool 4,Fancy,18,20
Hair bool 5,Fancy,54,60
Hair bool 6,Fancy,36,40
wed purse,Fancy,495,550
poddu,Fancy,27,30
Poddu,Fancy,45,50
pottu,Fancy,36,40
Band,Fancy,72,80
cream,Fancy,441,490
baloon pumb,Fancy,252,280
party cap 3,Fancy,225,250
colour dust,Fancy,180,200
party cap,Fancy,270,300
party table cover,Fancy,270,300
birthday knife,Fancy,54,60
melady flower handle,Fancy,405,450
music handle,Fancy,225,250
flower handle,Fancy,180,200
party cap 2,Fancy,135,150
party spoon,Fancy,162,180
handle,Fancy,63,70
colour handle,Fancy,198,220
flower handle 2,Fancy,90,100
party visil,Fancy,135,150
party sunglass,Fancy,90,100
party mass,Fancy,189,210
birthday handle,Fancy,36,40
stoe,Fancy,135,150
tape,Fancy,126,140
decortion malai,Fancy,270,300
iraichchy sarakku,Packeted Food,45,50
iraichchy saraku 10g,Packeted Food,18,20
cardamom 5g,Packeted Food,18,20
abirami red nadhu 10kg bag,Frozen Food,675,750
thalikody,Fancy,3510,3900
iraichchy sarakku 10g,Packeted Food,18,20
Ritzbury bubbles box,Packeted Food,324,360
lucky milk toffee,Packeted Food,135,150
choicy choco,Packeted Food,270,300
bangle baby,Fancy,180,200
alpha  pakoda 500g,Packeted Food,162,180
bangle,Fancy,207,230
bangle 2,Fancy,243,270
bangle 3,Fancy,207,230
bangle 4,Fancy,207,230
bangle 5,Fancy,207,230
bangle 6,Fancy,216,240
bangle 7,Fancy,432,480
bangle 8,Fancy,432,480
bangle 9,Fancy,216,240
bangle 10,Fancy,234,260
bangle 11,Fancy,162,180
bangle 12,Fancy,432,480
bangle 13,Fancy,864,960
bangle 14,Fancy,198,220
bangle pair,Fancy,27,30
bangle 15,Fancy,1035,1150
bangle 16,Fancy,1305,1450
bangle 17,Fancy,432,480
bangle 18,Fancy,495,550
maliban shotisht,Biscuits,108,120
chocolate corn,Sweet Items,27,30
sweettee nelli cordial 1000ml,Sweet Items,240,300
lysol lavender 950ml,Chemical,288,320
lysol 200ml,Chemical,81,90
Dettol original hand wash 200m,Chemical,225,250
Dettol 125ml,Chemical,157.5,175
Dettol skncre H/W,Chemical,1,1
Air wick jasmine,Chemical,99,110
Spread Dry Fish,Lose Food Items,675,750
Katta Dry Fish,Lose Food Items,585,650
Potato 1kg,Lose Food Items,91,140
Big Onian 1kg,Lose Food Items,80,100
Match Box,Lose Food Items,4.5,5
Royal Vanila Cake 300g,Bakery,198,220
Rosary Cherry Icing Cake,Food,268,320
Royal dates cake 300g,Bakery,207,230
Roin liquid blue 75ml,Chemical,37.8,42
Strepsils regular pouch,Chemical,16.2,18
Strepsils Regular lemon,Chemical,16.2,18
rice udaiyal 1kg,Frozen Food,61.2,95
rice nadhu 1kg,Frozen Food,67.5,75
semiya 1kg,Frozen Food,234,260
dhal yellow 1kg,Frozen Food,171,190
plums,Frozen Food,540,700
chestnut 1kg,Frozen Food,1950,3000
edna coffee milk chocolate,Other Chocolates,180,200
edna coffee milk chocolate 50g,Other Chocolates,180,200
lunch tissue  250 sheet,Fancy,243,270
onedaycup,Fancy,3.15,3.5
David Mixture 250g,Packeted Food,105,125
Roasted Curry Powder 1000g,Packeted Food,360,400
Tasters Rosted White Rice F 1kg,Packeted Food,115,130
alpha ground nut 250g,Packeted Food,135,150
alpha paruppu 250g,Packeted Food,81,90
Steel Wool,Miscellaneous,31.5,35
SUN Brite,Miscellaneous,72,80
Today Pen,Stationery,18,20
Comfort Morning Fresh 20ml,Chemical,9,10
Comfort Lily Fresh 20ml,Chemical,8.7,10
Lifebuoy S&L HealthShampoo 6ml,Shampoo,5.4,6
Lifebuoy S&L Herbal Shampoo 6ml,Shampoo,5.4,6
Lifebuoy S&L Anti -DShampoo 5ml,Shampoo,5.4,6
Clear Ice Cool Shampoo 7ml,Shampoo,7.2,8
Clear Complete S&C Shampoo 7ml,Shampoo,6.96,8
Clear Cool Spot Shampoo 5ml,Shampoo,7.2,8
Sunsilk Black Shine 6.5ml,Shampoo,7.17,8
Sunsilk Thick & long 6.5ml,Shampoo,6.3,7
Sunsilk Damaged hair6.5ml,Shampoo,5.73,8
Sunsilk Hair fall  6.5ml,Shampoo,6.3,7
Cowpea 1kg,Lose Food Items,207,260
a4 sheet white,Stationery,1.8,2
thodu,Fancy,45,50
thodu,Fancy,36,40
thodu,Fancy,27,30
bascut thodu,Fancy,171,190
nacklace,Fancy,261,290
nacklace,Fancy,351,390
super gulu,General,27,30
necklace,Fancy,243,270
comps,Fancy,27,30
Small Combs,Fancy,18,20
comps 3,Fancy,13.5,15
rathi,Fancy,8.5,15
pottu,Fancy,27,30
cards,Fancy,81,90
pin,Fancy,4.5,5
pin 2,Fancy,27,30
hair hilip 2,Fancy,9,10
pattlock 2,General,630,700
pattlock50m,General,495,550
pattlock 3,General,315,350
pattlock 32m,General,270,300
pattlock 4,General,108,120
iching cake 7,Packeted Food,540,600
iching cake,Packeted Food,1,1
iching cake 2,Packeted Food,1,1
cake,Packeted Food,1,1
cake,Packeted Food,540,600
iching cake 3,Packeted Food,252,280
iching cake 4,Packeted Food,405,450
iching cake 5,Packeted Food,450,500
iching cake 6,Packeted Food,450,500
schoolbox,Fancy,315,350
schoolbox 2,Fancy,333,370
toys,Fancy,171,190
toys 2,Fancy,90,100
toys 3,Fancy,189,210
toys 4,Fancy,108,120
toys 5,Fancy,234,260
toys 6,Fancy,36,40
toys 7,Fancy,171,190
toys 8,Fancy,81,90
toys 9,Fancy,279,310
toys 10,Fancy,189,210
toys 11,Fancy,126,140
toys 12,Fancy,171,190
toys 13,Fancy,189,210
toys 14,Fancy,171,190
toys 15,Fancy,153,170
neilcutter,Fancy,45,60
straow,Fancy,18,20
toys 16,Fancy,63,70
toys 17,Fancy,99,110
toys 18,Fancy,126,140
toys 19,Fancy,162,180
toys 20,Fancy,198,220
toys 21,Fancy,108,120
toys 22,Fancy,135,150
toys 23,Fancy,135,150
toys 24,Fancy,288,320
zara taste 5g,Packeted Food,5.67,7
chupa chups 10/-,Sweet Items,9,10
juzt jelly 1piece strawberry,Sweet Items,1.8,2
juzt jelly 1piece mango,Sweet Items,1.8,2
Special Noodles 5kg,Packeted Food,810,900
Sunsilk shampoo 6.5ml packet,Shampoo,7.18,8
clear shampoo 7ml packet,Shampoo,7.2,8
Soorya safty wax matches,Chemical,700,6
file,Stationery,5.4,6
Doves Roll On ferfume 6ml,Cosmatics,216,240
Oil paper 1pcs,Stationery,4.5,10
prima cake compound,Frozen Food,288,320
red rice flour 5kg,Packeted Food,500,590
nescafe classic 1.2g,Packeted Items,9.15,10
alpha mixture 80g,Snack Foods,27,30
cherishteatime 200g,Biscuits,108,120
Appach Soda 1kg,Packeted Food,135,150
oilpaper,Stationery,9,10
zeego choco fruit and nut,kandos Chocolate,4.5,5
Lip barm,Cosmatics,72,80
SAREE PIN,Cosmatics,180,200
star cup,Cadbury Chocolate,9,10
hair silight 70,Cosmatics,18,20
green apple 1kg,fruits,261,290
am industries 500g,Food Drink,162,180
chilodren stores book,Stationery,180,200
A4  sheet brown,Stationery,27,30
Anna odiyal flour200g,Packeted Food,56,70
johnshon baby shampoo 50ml,Baby Others,180,200
Elephant Fruit &Nut 1l,Ice cream,316.25,400
ALOE SKIN SOOTHING GEL 50ML,Cosmatics,225,250
white ulunthu 1kg,Lose Food Items,320,340
valmelix cough syrup 10ml,Medicie,13.5,15
coriander 500g,Frozen Food,126,140
shoping bag smalll,General,70,95
Blades single,Shaving Razor,18,20
alpha parupu,Snack Foods,162,180
nesto milk choco,kandos Chocolate,9,10
anna curry powder 1kg,Packeted Food,405,450
harischandra noodles 400g,Packeted Food,104.75,115
